monitor,uniqueID,date,day,position,dose,anoxia,bins60,counts60,cum.day
1,Rep.B,8/28/2018,1,t12,100,n,15:00,28,49
1,Rep.B,8/28/2018,1,t12,100,n,16:00,22,71
1,Rep.B,8/28/2018,1,t12,100,n,17:00,37,108
1,Rep.B,8/28/2018,1,t12,100,n,18:00,34,142
1,Rep.B,8/28/2018,1,t12,100,n,19:00,10,152
1,Rep.B,8/28/2018,1,t12,100,n,20:00,34,186
1,Rep.B,8/28/2018,1,t12,100,n,21:00,10,196
1,Rep.B,8/28/2018,1,t12,100,n,22:00,0,196
1,Rep.B,8/28/2018,1,t12,100,n,23:00,0,196
1,Rep.B,8/28/2018,1,t12,100,n,0:00,0,196
1,Rep.B,8/28/2018,1,t13,50,n,1:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,2:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,3:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,4:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,5:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,6:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,7:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,8:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,9:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,10:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,11:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,12:00,0,0
1,Rep.B,8/28/2018,1,t13,50,n,13:00,9,9
1,Rep.B,8/28/2018,1,t13,50,n,14:00,0,9
1,Rep.B,8/28/2018,1,t13,50,n,15:00,0,9
1,Rep.B,8/28/2018,1,t13,50,n,16:00,0,9
1,Rep.B,8/28/2018,1,t13,50,n,17:00,0,9
1,Rep.B,8/28/2018,1,t13,50,n,18:00,35,44
1,Rep.B,8/28/2018,1,t13,50,n,19:00,22,66
1,Rep.B,8/28/2018,1,t13,50,n,20:00,20,86
1,Rep.B,8/28/2018,1,t13,50,n,21:00,3,89
1,Rep.B,8/28/2018,1,t13,50,n,22:00,0,89
1,Rep.B,8/28/2018,1,t13,50,n,23:00,0,89
1,Rep.B,8/28/2018,1,t13,50,n,0:00,0,89
1,Rep.B,8/28/2018,1,t14,20,a,1:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,2:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,3:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,4:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,5:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,6:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,7:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,8:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,9:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,10:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,11:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,12:00,0,0
1,Rep.B,8/28/2018,1,t14,20,a,13:00,57,57
1,Rep.B,8/28/2018,1,t14,20,a,14:00,14,71
1,Rep.B,8/28/2018,1,t14,20,a,15:00,20,91
1,Rep.B,8/28/2018,1,t14,20,a,16:00,28,119
1,Rep.B,8/28/2018,1,t14,20,a,17:00,42,161
1,Rep.B,8/28/2018,1,t14,20,a,18:00,33,194
1,Rep.B,8/28/2018,1,t14,20,a,19:00,20,214
